b8b163757819f1598e9da164034c4d4fdc6fedfb0f6d605adeba02335b12ea14	localhost/voipmonitor/vllm:gilded-gnosis-v20p3p1-spark-sm121-vllm41ae549-si2b9bf2a-fi7ad08da-cu132-20260803
dfad43d4b2dea816eef6a2f9835fba3faf9c589f5912c912ca7efcbb6d5e7866	localhost/voipmonitor/vllm:gilded-gnosis-v20p3-spark-sm121-vllm92b27a4-si2b9bf2a-fi7ad08da-cu132-20260803
6c3586c535b78ffe7378db40abc488852531ebb1878f53bd270084acf1fa709c	localhost/voipmonitor/vllm:gilded-gnosis-v20p2-spark-sm121-vllm9e70264-si9c34ff8-fi7ad08da-cu132-20260730
777bd6bbdfef405573a2da50aaeeef37b4198923cd28c4b442b38b6fe343db8f	localhost/voipmonitor/vllm:gilded-gnosis-v20p2-spark-sm121-vllm6dbe127-si9c34ff8-fi7ad08da-cu132-20260730
39d6390e168d2621a8565e629c7f6e1351183f650af2ce55af0b38b981ce9c14	localhost/voipmonitor/vllm:jovian-judgement-r7-spark-sm121-vllm9cd4481-b12x0bb58d0-fi1ac6942-cu133-torch213-nccl2-20260830
9aa6483944ab9fbe342c6b5522a8b79b71b9104b6b1b05348c056c594849365e	localhost/voipmonitor/vllm:jovian-judgement-r7-spark-sm121-vllm9cd4481-b12x0bb58d0-fi1ac6942-cu133-torch213-nccl1-20260830
1f13d03fc08137f0772da259ba09c11b5e80c70b8e8fd805e99da1178ad7997e	localhost/voipmonitor/vllm:jovian-judgement-r7-spark-sm121-vllm9cd4481-b12x0bb58d0-fi1ac6942-cu133-torch213-20260830
7692d14a22c987c68550b6ae5232d1ea910b5fab8e154b553a491e1eb4f4d0c4	localhost/qwen38-flash-next-sglang:sm121-qsa-4429b60
64c58f100438fa5f036bdfbeb3edd3136fb12c5d22d8ae52786c4a701263c55d	localhost/qwen38-flash-next-sglang:arm64-14ed5825
64c58f100438fa5f036bdfbeb3edd3136fb12c5d22d8ae52786c4a701263c55d	docker.io/lmsysorg/sglang@sha256:14ed582518584c5c830206b5318a2c2769e68229c3422e48a28b952b3a888bd4
2dc397ccf5dd8e7f7b749ec648fbd7ee22c41902002f166d6886eb334784e71e	localhost/voipmonitor/vllm:gilded-gnosis-v20p1-ds4-spark-sm121-vllm2167295-si6a92bcc-fi7ad08da-cu132-20260722
83c03df2d23695ee7f87d8504c78a87698343e6c1399b508dea8fdeb3a56744a	localhost/voipmonitor/vllm:gilded-gnosis-v20p0-ds4-spark-sm121-vllm2167295-si6a92bcc-fi801d57a-cu132-20260722
